=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
    オノマトペ8: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 59x142
      配置位置: (1280,603)
      スケール: 0.005379
      スケール比: 0.0384
    オノマトペ9: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 58x33
      配置位置: (1354,823)
      スケール: 0.001265
      スケール比: 0.0378
    オノマトペ10: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 102x39
      配置位置: (405,435)
      スケール: 0.002557
      スケール比: 0.0664
    オノマトペ11: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 62x12
      配置位置: (235,557)
      スケール: 0.000500
      スケール比: 0.0404
    オノマトペ12: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 59x22
      配置位置: (460,663)
      スケール: 0.000867
      スケール比: 0.0384
    オノマトペ13: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 31x103
      配置位置: (305,272)
      スケール: 0.002090
      スケール比: 0.0202

画像 040.png:
  背景ファイル: 040.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 105x58
      配置位置: (339,811)
      スケール: 0.003896
      スケール比: 0.0684
    オノマトペ2: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 161x50
      配置位置: (629,609)
      スケール: 0.005225
      スケール比: 0.1048
    オノマトペ3: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 19x56
      配置位置: (1165,943)
      スケール: 0.000701
      スケール比: 0.0124

画像 041.png:
  背景ファイル: 041.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 7
    オノマトペ1: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 37x20
      配置位置: (824,965)
      スケール: 0.000500
      スケール比: 0.0241
    オノマトペ2: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 42x110
      配置位置: (557,512)
      スケール: 0.002998
      スケール比: 0.0273
    オノマトペ3: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 44x24
      配置位置: (1105,505)
      スケール: 0.000697
      スケール比: 0.0286
    オノマトペ4: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 26x91
      配置位置: (896,82)
      スケール: 0.001531
      スケール比: 0.0169
    オノマトペ5: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 109x22
      配置位置: (1224,40)
      スケール: 0.001543
      スケール比: 0.0710
    オノマトペ6: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 53x35
      配置位置: (884,752)
      スケール: 0.001218
      スケール比: 0.0345
    オノマトペ7: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 20x57
      配置位置: (660,618)
      スケール: 0.000751
      スケール比: 0.0130

画像 042.png:
  背景ファイル: 042.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 10
    オノマトペ1: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 19x40
      配置位置: (42,783)
      スケール: 0.000500
      スケール比: 0.0124
    オノマトペ2: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 42x18
      配置位置: (1376,841)
      スケール: 0.000500
      スケール比: 0.0273
    オノマトペ3: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 33x64
      配置位置: (551,590)
      スケール: 0.001382
      スケール比: 0.0215
    オノマトペ4: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 88x44
      配置位置: (82,781)
      スケール: 0.002514
      スケール比: 0.0573
    オノマトペ5: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 61x30
      配置位置: (358,481)
      スケール: 0.001196
      スケール比: 0.0397
    オノマトペ6: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 41x107
      配置位置: (1062,667)
      スケール: 0.002862
      スケール比: 0.0267
    オノマトペ7: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 54x28
      配置位置: (905,938)
      スケール: 0.001006
      スケール比: 0.0352
    オノマトペ8: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 24x54
      配置位置: (569,185)
      スケール: 0.000839
      スケール比: 0.0156
    オノマトペ9: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 105x57
      配置位置: (1198,446)
      スケール: 0.003879
      スケール比: 0.0684
    オノマトペ10: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 39x88
      配置位置: (1300,833)
      スケール: 0.002206
      スケール比: 0.0254

画像 043.png:
  背景ファイル: 043.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 30x84
      配置位置: (836,341)
      スケール: 0.001650
      スケール比: 0.0195
    オノマトペ2: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 41x78
      配置位置: (657,686)
      スケール: 0.002077
      スケール比: 0.0267
    オノマトペ3: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 18x46
      配置位置: (214,878)
      スケール: 0.000543
      スケール比: 0.0117
    オノマトペ4: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 108x22
      配置位置: (329,337)
      スケール: 0.001524
      スケール比: 0.0703

画像 044.png:
  背景ファイル: 044.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 37x84
      配置位置: (1126,37)
      スケール: 0.001998
      スケール比: 0.0241
    オノマトペ2: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 29x64
      配置位置: (931,90)
      スケール: 0.001213
      スケール比: 0.0189
    オノマトペ3: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 37x20
      配置位置: (644,258)
      スケール: 0.000500
      スケール比: 0.0241
    オノマトペ4: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 136x34
      配置位置: (662,118)
      スケール: 0.002963
      スケール比: 0.0885

画像 045.png:
  背景ファイル: 045.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 9
    オノマトペ1: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 101x25
      配置位置: (1275,774)
      スケール: 0.001630
      スケール比: 0.0658
    オノマトペ2: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 133x33
      配置位置: (1020,640)
      スケール: 0.002813
      スケール比: 0.0866
    オノマトペ3: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 52x125
      配置位置: (905,778)
      スケール: 0.004197
      スケール比: 0.0339
    オノマトペ4: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 23x80
      配置位置: (105,208)
      スケール: 0.001186
      スケール比: 0.0150
    オノマトペ5: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 110x63
      配置位置: (546,562)
      スケール: 0.004459
      スケール比: 0.0716
    オノマトペ6: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 48x21
      配置位置: (268,949)
      スケール: 0.000668
      スケール比: 0.0312
    オノマトペ7: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 42x155
      配置位置: (1430,496)
      スケール: 0.004192
      スケール比: 0.0273
    オノマトペ8: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 18x42
      配置位置: (248,29)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ9: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 30x84
      配置位置: (1290,623)
      スケール: 0.001637
      スケール比: 0.0195

画像 046.png:
  背景ファイル: 046.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 112x86
      配置位置: (315,510)
      スケール: 0.006200
      スケール比: 0.0729
    オノマトペ2: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 36x40
      配置位置: (1467,298)
      スケール: 0.000939
      スケール比: 0.0234
    オノマトペ3: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 80x30
      配置位置: (1042,722)
      スケール: 0.001589
      スケール比: 0.0521
    オノマトペ4: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 24x70
      配置位置: (559,425)
      スケール: 0.001121
      スケール比: 0.0156
    オノマトペ5: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 62x34
      配置位置: (988,483)
      スケール: 0.001372
      スケール比: 0.0404
    オノマトペ6: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 57x32
      配置位置: (499,467)
      スケール: 0.001189
      スケール比: 0.0371
    オノマトペ7: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 25x70
      配置位置: (1128,148)
      スケール: 0.001169
      スケール比: 0.0163
    オノマトペ8: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 16x47
      配置位置: (785,195)
      スケール: 0.000500
      スケール比: 0.0104
    オノマトペ9: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 78x41
      配置位置: (1227,520)
      スケール: 0.002036
      スケール比: 0.0508
    オノマトペ10: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 34x99
      配置位置: (279,884)
      スケール: 0.002170
      スケール比: 0.0221
    オノマトペ11: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 63x32
      配置位置: (142,282)
      スケール: 0.001290
      スケール比: 0.0410
    オノマトペ12: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 85x36
      配置位置: (849,348)
      スケール: 0.001998
      スケール比: 0.0553
    オノマトペ13: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 99x60
      配置位置: (1039,273)
      スケール: 0.003822
      スケール比: 0.0645

画像 047.png:
  背景ファイル: 047.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 33x80
      配置位置: (1112,386)
      スケール: 0.001723
      スケール比: 0.0215
    オノマトペ2: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 82x45
      配置位置: (932,955)
      スケール: 0.002379
      スケール比: 0.0534
    オノマトペ3: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 77x29
      配置位置: (659,890)
      スケール: 0.001483
      スケール比: 0.0501
    オノマトペ4: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 17x49
      配置位置: (386,714)
      スケール: 0.000552
      スケール比: 0.0111
    オノマトペ5: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 39x87
      配置位置: (489,585)
      スケール: 0.002168
      スケール比: 0.0254
    オノマトペ6: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 79x25
      配置位置: (784,239)
      スケール: 0.001267
      スケール比: 0.0514
    オノマトペ7: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 122x47
      配置位置: (841,44)
      スケール: 0.003668
      スケール比: 0.0794
    オノマトペ8: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 41x88
      配置位置: (651,762)
      スケール: 0.002360
      スケール比: 0.0267
    オノマトペ9: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 85x66
      配置位置: (968,722)
      スケール: 0.003643
      スケール比: 0.0553
    オノマトペ10: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 25x112
      配置位置: (780,395)
      スケール: 0.001817
      スケール比: 0.0163
    オノマトペ11: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 74x40
      配置位置: (1359,811)
      スケール: 0.001938
      スケール比: 0.0482
    オノマトペ12: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 81x45
      配置位置: (1335,155)
      スケール: 0.002340
      スケール比: 0.0527
    オノマトペ13: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 40x77
      配置位置: (1014,37)
      スケール: 0.001975
      スケール比: 0.0260

画像 048.png:
  背景ファイル: 048.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 7
    オノマトペ1: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 49x107
      配置位置: (204,538)
      スケール: 0.003375
      スケール比: 0.0319
    オノマトペ2: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 23x76
      配置位置: (935,15)
      スケール: 0.001133
      スケール比: 0.0150
    オノマトペ3: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 71x17
      配置位置: (295,419)
      スケール: 0.000781
      スケール比: 0.0462
    オノマトペ4: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 27x100
      配置位置: (1340,158)
      スケール: 0.001760
      スケール比: 0.0176
    オノマトペ5: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 32x72
      配置位置: (153,480)
      スケール: 0.001511
      スケール比: 0.0208
    オノマトペ6: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 86x46
      配置位置: (542,346)
      スケール: 0.002574
      スケール比: 0.0560
    オノマトペ7: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 194x74
      配置位置: (1276,709)
      スケール: 0.009251
      スケール比: 0.1263

画像 049.png:
  背景ファイル: 049.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 29x78
      配置位置: (1283,735)
      スケール: 0.001470
      スケール比: 0.0189
    オノマトペ2: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 32x57
      配置位置: (999,893)
      スケール: 0.001198
      スケール比: 0.0208
    オノマトペ3: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 85x20
      配置位置: (1108,36)
      スケール: 0.001109
      スケール比: 0.0553
    オノマトペ4: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 61x118
      配置位置: (1264,70)
      スケール: 0.004656
      スケール比: 0.0397
    オノマトペ5: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 39x19
      配置位置: (480,646)
      スケール: 0.000500
      スケール比: 0.0254
    オノマトペ6: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 61x69
      配置位置: (1401,943)
      スケール: 0.002740
      スケール比: 0.0397

画像 050.png:
  背景ファイル: 050.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 44x24
      配置位置: (908,170)
      スケール: 0.000687
      スケール比: 0.0286
    オノマトペ2: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 91x46
      配置位置: (1421,306)
      スケール: 0.002673
      スケール比: 0.0592
    オノマトペ3: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 28x53
      配置位置: (59,47)
      スケール: 0.000956
      スケール比: 0.0182
    オノマトペ4: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 18x42
      配置位置: (664,815)
      スケール: 0.000504
      スケール比: 0.0117
    オノマトペ5: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 39x110
      配置位置: (114,300)
      スケール: 0.002792
      スケール比: 0.0254
    オノマトペ6: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 34x103
      配置位置: (734,383)
      スケール: 0.002286
      スケール比: 0.0221
    オノマトペ7: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 44x85
      配置位置: (882,149)
      スケール: 0.002429
      スケール比: 0.0286
    オノマトペ8: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 59x20
      配置位置: (500,543)
      スケール: 0.000774
      スケール比: 0.0384
    オノマトペ9: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 74x41
      配置位置: (843,579)
      スケール: 0.001966
      スケール比: 0.0482
    オノマトペ10: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 19x42
      配置位置: (1396,811)
      スケール: 0.000509
      スケール比: 0.0124
    オノマトペ11: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 131x66
      配置位置: (368,174)
      スケール: 0.005575
      スケール比: 0.0853

画像 051.png:
  背景ファイル: 051.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 25x114
      配置位置: (1194,146)
      スケール: 0.001879
      スケール比: 0.0163
    オノマトペ2: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 91x161
      配置位置: (475,472)
      スケール: 0.009358
      スケール比: 0.0592
    オノマトペ3: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 20x38
      配置位置: (1306,260)
      スケール: 0.000500
      スケール比: 0.0130
    オノマトペ4: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 74x57
      配置位置: (941,261)
      スケール: 0.002737
      スケール比: 0.0482
    オノマトペ5: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 51x112
      配置位置: (1365,9)
      スケール: 0.003671
      スケール比: 0.0332

画像 052.png:
  背景ファイル: 052.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 12
    オノマトペ1: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 25x87
      配置位置: (512,467)
      スケール: 0.001390
      スケール比: 0.0163
    オノマトペ2: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 59x32
      配置位置: (618,203)
      スケール: 0.001228
      スケール比: 0.0384
    オノマトペ3: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 48x55
      配置位置: (787,873)
      スケール: 0.001703
      スケール比: 0.0312
    オノマトペ4: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 107x33
      配置位置: (989,109)
      スケール: 0.002318
      スケール比: 0.0697
    オノマトペ5: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 129x49
      配置位置: (485,390)
      スケール: 0.004106
      スケール比: 0.0840
    オノマトペ6: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 17x44
      配置位置: (1171,367)
      スケール: 0.000500
      スケール比: 0.0111
    オノマトペ7: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 13x59
      配置位置: (1177,302)
      スケール: 0.000500
      スケール比: 0.0085
    オノマトペ8: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 31x69
      配置位置: (1432,302)
      スケール: 0.001376
      スケール比: 0.0202
    オノマトペ9: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 83x56
      配置位置: (44,849)
      スケール: 0.002964
      スケール比: 0.0540
    オノマトペ10: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 141x49
      配置位置: (1348,405)
      スケール: 0.004415
      スケール比: 0.0918
    オノマトペ11: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 37x21
      配置位置: (562,8)
      スケール: 0.000501
      スケール比: 0.0241
    オノマトペ12: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 105x21
      配置位置: (1159,885)
      スケール: 0.001428
      スケール比: 0.0684

画像 053.png:
  背景ファイル: 053.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 24x71
      配置位置: (1350,697)
      スケール: 0.001098
      スケール比: 0.0156
    オノマトペ2: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 30x67
      配置位置: (280,643)
      スケール: 0.001296
      スケール比: 0.0195
    オノマトペ3: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 53x29
      配置位置: (198,925)
      スケール: 0.001014
      スケール比: 0.0345
    オノマトペ4: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 88x44
      配置位置: (1285,661)
      スケール: 0.002540
      スケール比: 0.0573
    オノマトペ5: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 67x25
      配置位置: (80,316)
      スケール: 0.001108
      スケール比: 0.0436
    オノマトペ6: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 93x23
      配置位置: (902,34)
      スケール: 0.001379
      スケール比: 0.0605
    オノマトペ7: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 31x139
      配置位置: (1186,373)
      スケール: 0.002776
      スケール比: 0.0202
    オノマトペ8: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 49x138
      配置位置: (269,92)
      スケール: 0.004326
      スケール比: 0.0319
    オノマトペ9: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 153x53
      配置位置: (604,334)
      スケール: 0.005160
      スケール比: 0.0996
    オノマトペ10: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 33x121
      配置位置: (850,179)
      スケール: 0.002582
      スケール比: 0.0215
    オノマトペ11: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 119x45
      配置位置: (411,135)
      スケール: 0.003455
      スケール比: 0.0775
    オノマトペ12: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 19x41
      配置位置: (1104,897)
      スケール: 0.000500
      スケール比: 0.0124
    オノマトペ13: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 53x139
      配置位置: (749,543)
      スケール: 0.004781
      スケール比: 0.0345
    オノマトペ14: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 25x48
      配置位置: (1027,935)
      スケール: 0.000784
      スケール比: 0.0163
    オノマトペ15: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 67x31
      配置位置: (558,850)
      スケール: 0.001351
      スケール比: 0.0436

画像 054.png:
  背景ファイル: 054.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 38x20
      配置位置: (693,823)
      スケール: 0.000508
      スケール比: 0.0247
    オノマトペ2: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 65x134
      配置位置: (235,479)
      スケール: 0.005632
      スケール比: 0.0423
    オノマトペ3: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 80x40
      配置位置: (154,144)
      スケール: 0.002082
      スケール比: 0.0521
    オノマトペ4: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 40x90
      配置位置: (462,880)
      スケール: 0.002339
      スケール比: 0.0260

画像 055.png:
  背景ファイル: 055.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 12
    オノマトペ1: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 26x69
      配置位置: (1376,268)
      スケール: 0.001152
      スケール比: 0.0169
    オノマトペ2: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 106x49
      配置位置: (1197,390)
      スケール: 0.003379
      スケール比: 0.0690
    オノマトペ3: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 85x162
      配置位置: (1307,380)
      スケール: 0.008823
      スケール比: 0.0553
    オノマトペ4: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 42x84
      配置位置: (221,691)
      スケール: 0.002295
      スケール比: 0.0273
    オノマトペ5: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 43x104
      配置位置: (478,482)
      スケール: 0.002896
      スケール比: 0.0280
    オノマトペ6: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 20x44
      配置位置: (51,634)
      スケール: 0.000587
      スケール比: 0.0130
    オノマトペ7: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 43x92
      配置位置: (1149,335)
      スケール: 0.002572
      スケール比: 0.0280
    オノマトペ8: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 35x101
      配置位置: (1249,226)
      スケール: 0.002259
      スケール比: 0.0228
    オノマトペ9: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 47x23
      配置位置: (1326,64)
      スケール: 0.000722
      スケール比: 0.0306
    オノマトペ10: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 32x91
      配置位置: (1301,843)
      スケール: 0.001910
      スケール比: 0.0208
    オノマトペ11: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 54x141
      配置位置: (950,717)
      スケール: 0.004884
      スケール比: 0.0352
    オノマトペ12: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 44x102
      配置位置: (618,664)
      スケール: 0.002891
      スケール比: 0.0286

画像 056.png:
  背景ファイル: 056.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 42x97
      配置位置: (759,686)
      スケール: 0.002634
      スケール比: 0.0273
    オノマトペ2: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 56x158
      配置位置: (1426,553)
      スケール: 0.005702
      スケール比: 0.0365
    オノマトペ3: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 117x66
      配置位置: (858,601)
      スケール: 0.004938
